UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Wear_Torque_Index,AirTemp_RollingMean,ProcessTemp_RollingMean,Torque_RollingMean,ToolWear_RollingMean,Torque_Lag1,ToolWear_Lag1,AirTemp_Change,ProcessTemp_Change,Torque_Change,ToolWear_Change,AirTemp_RollingStd,ProcessTemp_RollingStd,Torque_RollingStd,ToolWear_RollingStd,Ambient_Humidity,Energy_Load_Index,Production_Demand,Shift,Days_Since_Maintenance,Production_Demand_Value,Torque_Load,Wear_Demand,Temperature_Humidity
1918,L54706,L,301.3,311.5,1520,40.2,142,0,0,0,0,0,0,10.199999999999989,5708.400000000001,299.11,308.87,37.42,141.6,41.0,215.0,3.1000000000000227,4.0,-0.7999999999999972,-73.0,1.9081404560461352,2.340963714181621,7.744790363707428,72.05584254204823,46,0.67,High,Day,89,3,26.934000000000005,426,14329.0
1919,L87084,L,302.7,313.0,1547,14.1,199,0,0,0,0,0,0,10.300000000000011,2805.9,299.38,309.34000000000003,35.75,140.4,40.2,142.0,1.3999999999999773,1.5,-26.1,57.0,2.2144976857065752,2.6634146837810384,10.603694324778065,70.86168060226755,52,0.56,High,Day,178,3,7.896000000000001,597,16276.0
1920,L25115,L,302.1,313.2,1375,35.0,76,0,0,0,0,0,0,11.099999999999966,2660.0,299.77,309.85,35.290000000000006,143.6,14.1,199.0,-0.5999999999999659,0.1999999999999886,20.9,-123.0,2.324292006898636,2.879139531951482,10.51754618614888,66.62031722130018,55,0.55,Low,Night,106,1,19.25,76,17226.0
1921,M85379,M,301.2,312.1,1981,43.2,166,0,0,0,0,0,0,10.900000000000034,7171.200000000001,300.35,310.61,35.32,147.0,35.0,76.0,-0.9000000000000341,-1.099999999999966,8.200000000000003,90.0,1.7702793251032611,2.242741378065762,10.54206389238408,66.82980040537468,50,0.69,Medium,Night,67,2,29.808,332,15605.000000000002
1922,L49979,L,297.0,307.1,1566,37.8,47,0,0,0,0,0,0,10.100000000000025,1776.6,300.27000000000004,310.45,34.33,135.2,43.2,166.0,-4.199999999999989,-5.0,-5.400000000000006,-119.0,1.9108171608559144,2.4423349483639263,9.679881771545968,73.39361158998943,51,0.93,Low,Day,122,1,35.153999999999996,47,15662.1
1923,M50641,M,299.3,309.6,1636,35.2,51,0,0,0,0,0,0,10.300000000000011,1795.2,300.28,310.52,35.1,123.2,37.8,47.0,2.300000000000012,2.5,-2.5999999999999943,4.0,1.9048476171189304,2.4026836847343254,9.377751448093472,76.62868624448404,87,0.63,Low,Night,159,1,22.176000000000002,51,26935.2
1924,L79377,L,303.9,314.2,1498,41.5,59,0,0,0,0,0,0,10.300000000000011,2448.5,300.45,310.69,35.89,106.0,35.2,51.0,4.599999999999966,4.599999999999966,6.299999999999997,8.0,2.1547106018620896,2.6095763811178347,9.5681706134917,68.62943974709425,36,0.85,Low,Day,101,1,35.275,59,11311.199999999999
1925,M16416,M,302.2,310.8,1689,49.7,216,0,0,0,0,0,0,8.600000000000023,10735.2,300.68999999999994,310.65,36.28,125.2,41.5,59.0,-1.6999999999999886,-3.3999999999999773,8.200000000000003,157.0,2.207285915125196,2.603949990985777,10.08263633954696,69.98380765100848,43,0.46,Low,Day,12,1,22.862000000000002,216,13364.4
1926,L20633,L,296.9,306.8,1305,45.3,22,0,0,0,0,0,0,9.900000000000034,996.6,300.48,310.58000000000004,38.3,119.3,49.7,216.0,-5.300000000000011,-4.0,-4.400000000000006,-194.0,2.470177681418256,2.705467714750077,9.6061323006596,76.32394410959427,44,0.69,Medium,Day,101,2,31.256999999999994,44,13499.2
1927,L10594,L,299.9,310.1,1225,32.4,196,0,0,0,0,0,0,10.200000000000044,6350.4,300.65,310.84000000000003,37.44,117.4,45.3,22.0,3.0,3.300000000000012,-12.9,174.0,2.351477077167337,2.49319072675934,9.721819674205824,73.87406701798544,82,1.0,Medium,Day,4,2,32.4,392,25428.2
1928,L24393,L,300.7,311.2,1532,25.4,51,0,0,0,0,0,0,10.5,1295.4,300.59,310.81000000000006,35.96,108.3,32.4,196.0,0.8000000000000114,1.099999999999966,-7.0,-145.0,2.3406789138574315,2.486161700292007,10.360523367303491,76.07897943000516,36,0.86,Medium,Night,121,2,21.843999999999998,102,11203.199999999999
1929,M45380,M,298.5,307.6,1905,45.1,85,0,0,0,0,0,0,9.100000000000025,3833.5,300.17,310.27000000000004,39.06,96.9,25.4,51.0,-2.1999999999999886,-3.599999999999966,19.700000000000003,34.0,2.296398145889278,2.5434228905158847,7.2697546955403824,69.20894290319588,38,0.53,Medium,Night,42,2,23.903000000000002,170,11688.800000000001
1930,L55056,L,295.4,304.1,1754,28.2,238,0,0,0,0,0,0,8.700000000000045,6711.599999999999,299.5,309.36,38.38,113.1,45.1,85.0,-3.1000000000000227,-3.5,-16.900000000000002,153.0,2.6246692913371983,2.9706714542155868,7.975490232232899,81.62032698891747,80,0.7,High,Night,22,3,19.74,714,24328.0
1931,L98279,L,300.2,310.0,1393,34.6,21,0,0,0,0,0,0,9.800000000000011,726.6,299.4,309.15,37.52,98.6,28.2,238.0,4.800000000000011,5.899999999999977,6.400000000000002,-217.0,2.571208103423522,2.826167408740184,7.86084530371172,84.02274824249841,77,0.54,High,Night,1,3,18.684,63,23870.0
1932,L14861,L,298.4,310.4,1630,41.9,24,0,0,0,0,0,0,12.0,1005.6,299.54,309.48,37.93,96.3,34.6,21.0,-1.8000000000000114,0.3999999999999772,7.299999999999997,3.0,2.461796994970149,2.751888240625154,7.983044532006433,85.88629434057337,37,0.65,Medium,Night,48,2,27.235,48,11484.8
1933,L46126,L,298.4,307.6,1424,51.3,182,0,0,0,0,0,0,9.200000000000044,9336.6,299.45,309.28000000000003,39.54,109.4,41.9,24.0,0.0,-2.7999999999999545,9.4,158.0,2.487859410104218,2.814170491558428,8.937710370484428,88.16928162473741,79,0.87,Medium,Day,43,2,44.631,364,24300.4
1934,M90382,M,299.3,310.5,1614,52.7,238,1,0,0,0,1,0,11.199999999999989,12542.6,298.99,308.91,40.66,127.3,51.3,182.0,0.9000000000000341,2.8999999999999773,1.4000000000000057,56.0,1.93818357117056,2.289808337443529,9.864324046222702,94.72656555698742,88,0.86,Medium,Night,102,2,45.322,476,27324.0
1935,M43682,M,299.7,311.3,1628,40.5,63,0,0,0,0,0,0,11.600000000000025,2551.5,298.73999999999995,308.96000000000004,39.74,112.0,52.7,238.0,0.3999999999999772,0.8000000000000114,-12.200000000000005,-175.0,1.6119001899070158,2.340560236829157,9.342757147176062,91.09457844582327,52,0.54,Low,Night,148,1,21.87,63,16187.6
1936,M28228,M,300.0,310.0,1703,34.8,64,0,0,0,0,0,0,10.0,2227.2,299.05,309.28000000000003,38.69,116.2,40.5,63.0,0.3000000000000113,-1.3000000000000114,-5.700000000000003,1.0,1.513825177048708,2.228502237428739,9.237898991533507,87.37632529594184,58,0.95,Low,Night,18,1,33.059999999999995,64,17980.0
1937,L34009,L,298.2,307.6,1257,27.9,3,0,0,0,0,0,0,9.400000000000034,83.69999999999999,298.88,309.03000000000003,38.24,96.9,34.8,64.0,-1.8000000000000114,-2.3999999999999773,-6.899999999999999,-61.0,1.5031818105457282,2.2662009325454804,9.677488195692913,89.08977993512462,47,0.76,Medium,Day,177,2,21.204,6,14457.2
1938,M10094,M,299.6,310.1,1311,59.4,51,0,0,0,0,0,0,10.5,3029.4,298.77000000000004,308.92,41.64,96.9,27.9,3.0,1.400000000000034,2.5,31.5,48.0,1.391282382072996,2.1739876315715034,10.594359086062886,89.08977993512462,60,0.63,High,Night,76,3,37.422,153,18606.0
1939,L90636,L,296.5,306.7,1524,37.0,116,0,0,0,0,0,0,10.199999999999989,4292.0,298.57000000000005,308.83000000000004,40.83,100.0,59.4,51.0,-3.1000000000000227,-3.400000000000034,-22.4,65.0,1.5670566890405744,2.251937437458274,10.61006335723039,89.16900308465466,59,0.7,Low,Night,145,1,25.9,116,18095.3
1940,L62221,L,300.6,309.8,1353,46.7,159,0,0,0,0,0,0,9.199999999999989,7425.3,299.09000000000003,309.4,42.67999999999999,92.1,37.0,116.0,4.100000000000023,3.1000000000000227,9.700000000000005,43.0,1.2233378746509271,1.52606975230206,9.74038557302072,78.43815681442608,81,0.76,Low,Night,150,1,35.492000000000004,159,25093.8
1941,L27430,L,294.3,303.6,1339,41.9,52,0,0,0,0,0,0,9.300000000000011,2178.8,298.5,308.76,43.41,95.2,46.7,159.0,-6.300000000000011,-6.199999999999989,-4.800000000000004,-107.0,1.876758434701265,2.3604142762573805,9.332553538852846,75.88705057152039,68,0.74,Low,Night,82,1,31.006,52,20644.800000000003
1942,L45571,L,299.4,309.9,1586,35.0,25,0,0,0,0,0,0,10.5,875.0,298.6,308.71,42.72,95.3,41.9,52.0,5.099999999999966,6.2999999999999545,-6.899999999999999,-27.0,1.8973665961010489,2.3268720062215653,9.704271682557527,75.78339014732892,64,0.69,Medium,Night,10,2,24.15,50,19833.6
1943,M64486,M,301.8,312.8,1374,34.5,99,0,0,0,0,0,0,11.0,3415.5,298.94,309.23,41.040000000000006,87.0,35.0,25.0,2.400000000000034,2.900000000000034,-0.5,74.0,2.1459004843861846,2.614510789166784,9.50604486044998,69.51898221988685,47,0.7,Medium,Day,24,2,24.15,198,14701.6
1944,M72294,M,297.9,307.6,1942,26.1,206,0,0,0,0,0,0,9.700000000000044,5376.6,298.8,308.94,38.38,83.8,34.5,99.0,-3.900000000000034,-5.199999999999989,-8.399999999999999,107.0,2.1653842358549027,2.618820769397142,9.601944247564203,62.1410581750196,88,0.51,Medium,Night,140,2,13.311000000000002,412,27068.800000000003
1945,M30860,M,301.4,311.4,1442,51.1,162,0,0,0,0,0,0,10.0,8278.2,298.97,308.95,39.44,93.7,26.1,206.0,3.5,3.7999999999999545,25.0,-44.0,2.306054832151403,2.629004881446636,10.412833961564418,66.21186533478088,71,0.89,Low,Night,4,1,45.479,162,22109.399999999998
1946,L82812,L,302.3,313.0,1489,38.7,229,0,0,0,0,0,0,10.699999999999989,8862.300000000001,299.2,309.25,39.83,110.2,51.1,162.0,0.9000000000000341,1.6000000000000227,-12.4,67.0,2.524546163834834,2.9174760781657625,10.292073541214911,77.57261830769373,68,0.73,Medium,Night,170,2,28.251,458,21284.0
1947,L76087,L,293.4,303.2,1591,54.1,218,1,0,0,0,1,0,9.800000000000011,11793.8,298.72,308.81,42.45,131.7,38.7,229.0,-8.900000000000034,-9.800000000000011,15.4,-11.0,3.1215380824202823,3.4728950459240697,10.252398093454314,74.28481226558588,46,0.48,Low,Day,126,1,25.968,218,13947.199999999999
1948,L18486,L,299.7,309.4,1268,35.4,13,0,0,0,0,0,0,9.699999999999989,460.2,298.73,308.74,40.05,127.9,54.1,218.0,6.300000000000011,6.199999999999989,-18.700000000000003,-205.0,3.124828884204004,3.450990196065101,8.503626677286876,79.64985875693698,43,0.86,Medium,Night,133,2,30.444,26,13304.199999999999
1949,L93063,L,294.2,303.5,1629,36.9,161,0,0,0,0,0,0,9.300000000000011,5940.9,298.5,308.42,40.040000000000006,132.4,35.4,13.0,-5.5,-5.899999999999977,1.5,148.0,3.381321240777562,3.7926244211633886,8.507669742323266,80.17231442337189,60,0.96,Low,Night,154,1,35.424,161,18210.0
1950,L59607,L,299.8,309.0,1599,28.6,59,0,0,0,0,0,0,9.199999999999989,1687.4,298.42,308.34000000000003,38.23,122.4,36.9,161.0,5.600000000000023,5.5,-8.299999999999997,-102.0,3.335266106324981,3.7686425496021503,8.851748101050005,82.68306289010407,53,0.97,Medium,Day,80,2,27.742,118,16377.0
1951,L19745,L,300.0,312.7,1475,36.8,152,0,0,0,0,0,0,12.699999999999989,5593.599999999999,298.98999999999995,309.25,37.72,132.4,28.6,59.0,0.1999999999999886,3.6999999999999886,8.199999999999996,93.0,3.025612885571008,3.5914249725333383,8.76328198285944,79.1962400903253,64,0.62,Medium,Night,5,2,22.816,304,20012.8
1952,L88533,L,295.0,304.8,1587,27.5,53,0,0,0,0,0,0,9.800000000000011,1457.5,298.55,308.74,36.97,135.2,36.8,152.0,-5.0,-7.899999999999977,-9.299999999999995,-99.0,3.2694715848963427,3.8422215795904817,9.32488307939794,75.38022139644974,73,0.48,Medium,Day,154,2,13.2,106,22250.4
1953,L28330,L,303.8,315.2,1614,43.9,154,0,0,0,0,0,0,11.399999999999975,6760.599999999999,298.75,308.98,37.91,140.7,27.5,53.0,8.800000000000011,10.399999999999975,16.4,101.0,3.540323274630296,4.183778196798139,9.519973155891076,74.44617742593188,89,0.71,Medium,Night,83,2,31.168999999999997,308,28052.8
1954,M50078,M,300.6,312.3,1794,41.0,20,0,0,0,0,0,0,11.699999999999989,820.0,299.02,309.45,39.4,122.1,43.9,154.0,-3.1999999999999886,-2.8999999999999773,-2.8999999999999986,-134.0,3.5711187167173346,4.274537011966201,8.586423391998839,79.38996578073757,74,0.47,Medium,Day,6,2,19.27,40,23110.2
1955,H65332,H,298.3,308.1,1985,54.6,175,0,0,0,0,0,0,9.800000000000011,9555.0,298.71000000000004,309.12,39.75,123.4,41.0,20.0,-2.300000000000012,-4.199999999999989,13.6,155.0,3.474814143710923,4.234461791853814,9.167969604370692,80.21803620965392,63,0.96,Low,Day,152,1,52.416,175,19410.300000000003
1956,H64532,H,302.9,313.3,1347,25.4,34,0,0,0,0,0,0,10.400000000000034,863.5999999999999,298.77,309.15,38.42,103.9,54.6,175.0,4.599999999999966,5.199999999999989,-29.200000000000003,-141.0,3.548098082071587,4.2659504607222525,10.239335915966326,75.24249685738351,32,0.51,Medium,Day,7,2,12.953999999999999,68,10025.6
1957,M53336,M,296.4,306.5,1305,52.0,179,0,0,0,0,0,0,10.100000000000025,9308.0,299.07,309.48,38.21,100.0,25.4,34.0,-6.5,-6.800000000000011,26.6,145.0,3.147856413497904,3.863159328839824,9.897861721940984,69.45982051997187,66,0.55,Medium,Day,10,2,28.6,358,20229.0
1958,L18070,L,297.5,305.9,1556,30.2,197,0,0,0,0,0,0,8.399999999999977,5949.4,298.85,309.13,37.690000000000005,118.4,52.0,179.0,1.1000000000000227,-0.6000000000000227,-21.8,18.0,3.1756889016400858,4.026316209915135,10.194056002287583,68.21241333755428,72,0.64,Medium,Night,167,2,19.328,394,22024.8
1959,M11320,M,295.4,303.8,1165,43.3,226,1,0,1,0,0,0,8.400000000000034,9785.8,298.97,309.16,38.33,124.9,30.2,197.0,-2.1000000000000227,-2.099999999999966,13.099999999999998,29.0,2.9981661061388767,3.980563890818984,10.338821123426987,75.43717032515654,69,0.63,Medium,Day,78,2,27.279,452,20962.2
1960,M99043,M,303.6,313.7,1654,28.5,153,0,0,0,0,0,0,10.099999999999966,4360.5,299.35,309.63,38.32,134.3,43.3,226.0,8.200000000000045,9.899999999999975,-14.799999999999995,-73.0,3.336748250750817,4.229276271157931,10.349320965379436,72.0956925820738,55,0.88,High,Day,156,3,25.080000000000002,459,17253.5
1961,L48921,L,300.7,310.2,1558,41.9,246,0,0,0,0,0,0,9.5,10307.4,299.42,309.38,38.83,143.7,28.5,153.0,-2.900000000000034,-3.5,13.4,93.0,3.359166563301039,4.099539269506352,10.391668671477923,80.31887836755574,84,0.67,Medium,Night,42,2,28.073,492,26056.8
1962,L16589,L,301.3,313.2,1603,14.9,142,0,0,0,0,0,0,11.899999999999975,2115.8,300.05,310.22,37.57,152.6,41.9,246.0,0.6000000000000227,3.0,-27.0,-104.0,3.0108138434648155,3.913168650708657,12.47344289992845,73.81990096022724,52,0.5,Low,Night,62,1,7.45,142,16286.4
1963,M74409,M,300.6,310.4,1483,33.2,4,0,0,0,0,0,0,9.799999999999956,132.8,299.73,309.74,36.5,137.6,14.9,142.0,-0.6999999999999886,-2.800000000000012,18.300000000000004,-138.0,2.724395957516616,3.5078325058204225,12.328197128714397,87.47977544044743,73,0.56,Medium,Day,125,2,18.592000000000002,8,22659.199999999997
1964,L25589,L,301.1,313.1,1583,41.0,217,0,0,0,0,0,0,12.0,8897.0,299.78000000000003,309.82,36.5,157.3,33.2,4.0,0.5,2.700000000000045,7.799999999999997,213.0,2.746634304016375,3.581061295203041,12.328197128714397,79.90835027983259,68,0.71,Low,Day,180,1,29.11,217,21290.800000000003
1965,L46375,L,300.2,309.7,1622,57.4,160,0,0,0,0,0,0,9.5,9184.0,299.97,309.98,36.78,155.8,41.0,217.0,-0.9000000000000341,-3.400000000000034,16.4,-57.0,2.6981681028265303,3.531068456493767,12.807445751072466,79.67963632223996,44,0.49,Medium,Night,22,2,28.125999999999998,320,13626.8
1966,L53085,L,300.5,312.5,1573,18.7,152,0,0,0,0,0,0,12.0,2842.4,299.73,309.9,36.11,167.6,57.4,160.0,0.3000000000000113,2.800000000000012,-38.7,-8.0,2.508673841782547,3.455752048718669,13.618488250250817,67.4342478105728,85,0.77,Medium,Day,57,2,14.399,304,26562.5
1967,L70840,L,300.2,310.7,1297,39.9,120,0,0,0,0,0,0,10.5,4788.0,300.11,310.32,34.9,161.7,18.7,152.0,-0.3000000000000113,-1.8000000000000114,21.2,-32.0,2.219334234504525,3.245441247178695,12.54503000306396,68.89129924098603,78,0.74,Low,Night,96,1,29.526,120,24234.6
1968,L53200,L,298.8,309.3,1568,34.7,208,0,0,0,0,0,0,10.5,7217.6,300.24,310.66,35.35,162.8,39.9,120.0,-1.3999999999999773,-1.3999999999999773,-5.199999999999996,88.0,2.083373332949166,2.889521298300512,12.437957138444196,69.6017241165761,33,0.83,High,Night,139,3,28.801000000000002,624,10206.9
1969,L36732,L,299.9,309.4,1869,20.8,179,0,0,0,0,0,0,9.5,3723.2,300.69,311.22,33.1,158.1,34.7,208.0,1.099999999999966,0.0999999999999659,-13.900000000000002,-29.0,1.2350888407088167,1.7171035042890963,12.86770289436986,66.37176441161623,58,0.96,Medium,Day,142,2,19.968,358,17945.199999999997
1970,L32426,L,300.5,311.1,1581,28.7,171,0,0,0,0,0,0,10.600000000000025,4907.7,300.38,310.96000000000004,33.120000000000005,159.9,20.8,179.0,0.6000000000000227,1.7000000000000457,7.899999999999999,-8.0,0.6941021378564666,1.480390338915289,12.859911871133878,66.46210281890788,51,0.95,Medium,Night,31,2,27.264999999999997,342,15866.1
1971,L40982,L,300.2,311.9,1562,35.2,19,0,0,0,0,0,0,11.699999999999989,668.8000000000001,300.33000000000004,311.13,32.45,137.2,28.7,171.0,-0.3000000000000113,0.7999999999999545,6.500000000000004,-152.0,0.6864562784485184,1.4810281713870774,12.521736656266391,72.2969186372728,54,0.97,Low,Night,4,1,34.144,19,16842.6
1972,M69720,M,297.0,306.9,1817,44.6,233,0,0,0,0,0,0,9.899999999999975,10391.8,299.9,310.5,35.42,146.3,35.2,19.0,-3.1999999999999886,-5.0,9.4,214.0,1.180395413974804,1.8067773643821905,11.365425152139544,78.43475703481907,42,0.55,Medium,Day,109,2,24.53,466,12889.8
1973,L26746,L,297.3,307.0,1404,40.8,55,0,0,0,0,0,0,9.699999999999989,2244.0,299.57000000000005,310.16,36.18,151.4,44.6,233.0,0.3000000000000113,0.1000000000000227,-3.800000000000004,-178.0,1.4032106042927446,2.1203773249118414,11.454237449762992,69.2775416551263,47,0.48,High,Night,150,3,19.584,165,14429.0
1974,L38514,L,302.2,311.9,1697,26.8,65,0,0,0,0,0,0,9.699999999999989,1742.0,299.67999999999995,310.04,34.760000000000005,136.2,40.8,55.0,4.899999999999977,4.899999999999977,-13.999999999999996,10.0,1.5697133496277342,1.96367003338152,11.668495094817278,69.95681207399001,62,0.58,Medium,Night,118,2,15.543999999999999,130,19337.8
1975,L74889,L,299.4,311.0,1443,21.6,118,0,0,0,0,0,0,11.600000000000025,2548.8,299.6,310.17,31.18,132.0,26.8,65.0,-2.800000000000012,-0.8999999999999773,-5.199999999999999,53.0,1.5606266547624807,1.9816098954582395,9.17627375354486,69.62917651546817,45,0.94,High,Day,93,3,20.304,354,13995.0
1976,H13851,H,301.2,312.0,1732,44.1,7,0,0,0,0,0,0,10.800000000000011,308.7,299.67,310.12,33.72,117.5,21.6,118.0,1.8000000000000114,1.0,22.5,-111.0,1.620048010262375,1.9216890718556063,8.847447842927936,79.41207576796994,74,0.98,Low,Night,99,1,43.218,7,23088.0
1977,L29796,L,297.8,309.3,1680,38.0,82,0,0,0,0,0,0,11.5,3116.0,299.43,309.98,33.53,113.7,44.1,7.0,-3.3999999999999773,-2.6999999999999886,-6.100000000000001,75.0,1.7081829202074832,1.9257321839874808,8.719460992515351,80.18457873348648,71,0.92,Medium,Night,77,2,34.96,164,21960.3
1978,L86034,L,297.1,307.4,1464,55.9,63,0,0,0,0,0,0,10.299999999999956,3521.7,299.26,309.79,35.650000000000006,99.2,38.0,82.0,-0.6999999999999886,-1.900000000000034,17.9,-19.0,1.8560411872824047,2.087236343962234,11.246555028096262,74.11822387990117,73,0.47,Medium,Day,83,2,26.272999999999996,126,22440.199999999997
1979,M72798,M,298.3,308.4,1490,36.4,156,0,0,0,0,0,0,10.099999999999966,5678.4,299.1,309.69,37.21,96.9,55.9,63.0,1.1999999999999886,1.0,-19.5,93.0,1.863688099799225,2.1314835730598,9.966995535265264,71.68364140056285,31,0.97,Medium,Night,115,2,35.308,312,9560.4
1980,M72985,M,299.6,310.0,1713,51.3,175,0,0,0,0,0,0,10.399999999999975,8977.5,299.01,309.58,39.47,97.3,36.4,156.0,1.3000000000000114,1.6000000000000227,14.9,19.0,1.8095119047227408,2.0783540496165203,10.376795694668326,72.15269302743421,84,0.65,Low,Night,61,1,33.345,175,26040.0
1981,L44592,L,298.7,309.7,1205,45.3,121,0,0,0,0,0,0,11.0,5481.299999999999,298.86,309.36,40.48,107.5,51.3,175.0,-0.9000000000000341,-0.3000000000000113,-6.0,-54.0,1.761438805825165,1.9155503995812169,10.406493699181755,66.87010625915845,64,0.41,Medium,Night,100,2,18.572999999999997,242,19820.8
1982,M54845,M,302.6,312.3,1458,48.1,146,0,0,0,0,0,0,9.699999999999989,7022.6,299.42,309.9,40.83,98.8,45.3,121.0,3.900000000000034,2.6000000000000227,2.8000000000000043,25.0,1.9809088823062235,1.906130460733024,10.617182091099036,52.93560028730966,71,0.67,Medium,Night,134,2,32.227000000000004,292,22173.3
1983,L25930,L,300.4,311.7,1649,44.2,136,0,0,0,0,0,0,11.300000000000011,6011.200000000001,299.73,310.37,41.17,106.9,48.1,146.0,-2.200000000000045,-0.6000000000000227,-3.899999999999999,-10.0,1.850555472163696,1.677332538420485,10.67042121422053,51.67086004488225,63,0.43,Medium,Day,79,2,19.006,272,19637.1
1984,L31159,L,303.7,314.1,1482,44.4,71,0,0,0,0,0,0,10.400000000000034,3152.4,299.88,310.59000000000003,42.93,107.5,44.2,136.0,3.300000000000012,2.400000000000034,0.1999999999999957,-65.0,2.114920539615659,2.0113290244123427,9.414415660157635,51.16259484341213,59,0.73,Medium,Night,6,2,32.412,142,18531.9
1985,L99788,L,300.8,308.4,1562,17.1,112,0,0,0,0,0,0,7.599999999999966,1915.2000000000005,300.02,310.33,42.48,106.9,44.4,71.0,-2.8999999999999773,-5.7000000000000455,-27.3,41.0,2.1259246354362444,2.1176769242628466,10.582354285423506,51.06085693670977,88,0.6,Medium,Day,66,2,10.26,224,27139.199999999997
1986,L34003,L,295.2,306.1,1172,37.5,14,0,0,0,0,0,0,10.900000000000034,525.0,299.42,309.74,41.82,107.6,17.1,112.0,-5.600000000000023,-2.2999999999999545,20.4,-98.0,2.5585586220022347,2.40333102172826,10.675496345473642,49.56522078142234,84,0.68,Medium,Night,164,2,25.500000000000004,28,25712.4
1987,M45139,M,302.1,310.8,1385,33.3,225,0,0,0,0,0,0,8.699999999999989,7492.499999999999,299.85,309.89,41.35,121.9,37.5,14.0,6.900000000000034,4.699999999999989,-4.200000000000003,211.0,2.616719744684476,2.41957296507758,10.961979748202364,60.72972912832737,42,0.77,Low,Day,143,1,25.641,225,13053.6
1988,L62452,L,297.0,307.8,1659,52.6,67,0,0,0,0,0,0,10.800000000000011,3524.2000000000003,299.84000000000003,309.93,41.02,122.3,33.3,225.0,-5.100000000000023,-3.0,19.300000000000004,-158.0,2.6285610765840546,2.376762503911749,10.515892734333052,60.31040079824091,42,0.92,Medium,Night,76,2,48.392,134,12927.6
1989,L32205,L,300.5,311.4,1403,29.9,62,0,0,0,0,0,0,10.899999999999975,1853.8,300.06,310.23,40.37,112.9,52.6,67.0,3.5,3.599999999999966,-22.700000000000003,-5.0,2.5769059828491288,2.351382572020124,11.02190243711728,61.78178444241404,47,0.8,Medium,Day,40,2,23.92,124,14635.8
1990,M66955,M,298.5,308.8,1304,37.1,90,0,0,0,0,0,0,10.300000000000011,3339.0,299.95,310.11,38.95,104.4,29.9,62.0,-2.0,-2.599999999999966,7.200000000000003,28.0,2.621810231288332,2.3946468076385785,10.35162359782799,58.02145197156758,61,0.66,High,Day,169,3,24.486,270,18836.8
1991,M17464,M,304.3,314.8,1728,47.9,165,0,0,0,0,0,0,10.5,7903.5,300.51000000000005,310.62,39.21,108.8,37.1,90.0,5.800000000000011,6.0,10.799999999999995,75.0,2.907633631208057,2.805470845805657,10.559403392237568,61.01147433065382,61,0.89,Low,Night,7,1,42.631,165,19202.8
1992,L92646,L,302.9,314.0,1630,42.9,46,0,0,0,0,0,0,11.100000000000025,1973.4,300.54,310.79,38.69,98.8,47.9,165.0,-1.400000000000034,-0.8000000000000114,-5.0,-119.0,2.9330302873760834,2.9655241245573545,10.194709957184129,62.41580996296832,64,0.94,Medium,Night,22,2,40.32599999999999,92,20096.0
1993,M82657,M,298.5,308.0,1343,41.6,12,0,0,0,0,0,0,9.5,499.2000000000001,300.35,310.42,38.43,86.4,42.9,46.0,-4.399999999999977,-6.0,-1.2999999999999972,-34.0,3.003793897353264,3.0684053042436434,10.070975898866685,66.39477891119695,88,0.47,Medium,Day,72,2,19.552,24,27104.0
1994,L19840,L,299.7,310.5,1562,50.9,223,1,0,0,0,1,0,10.800000000000011,11350.7,299.95,310.06,39.08,101.6,41.6,12.0,1.1999999999999886,2.5,9.299999999999995,211.0,2.764959312539577,2.7869537332204803,10.689849806657111,78.73048259021995,68,0.72,Low,Day,106,1,36.647999999999996,223,21114.0
1995,M50768,M,300.5,311.7,1348,42.5,98,0,0,0,0,0,0,11.199999999999989,4165.0,299.92,310.39,41.620000000000005,100.2,50.9,223.0,0.8000000000000114,1.1999999999999886,-8.399999999999999,-125.0,2.7563260571515644,2.7638338911333427,7.3975671676571375,78.64943314057243,75,0.57,Medium,Day,139,2,24.224999999999998,196,23377.5
1996,M19461,M,301.7,313.5,1510,34.5,243,0,0,0,0,0,0,11.800000000000011,8383.5,300.57,311.13,41.32000000000001,123.1,42.5,98.0,1.1999999999999886,1.8000000000000114,-8.0,145.0,2.237086398768322,2.461729292816029,7.640069807708921,83.92384113653952,81,0.43,Medium,Day,130,2,14.834999999999999,486,25393.5
1997,H30927,H,300.1,309.0,1569,27.0,111,0,0,0,0,0,0,8.899999999999977,2997.0,300.37,310.95,40.69,111.7,34.5,243.0,-1.599999999999966,-4.5,-7.5,-132.0,2.173604277589278,2.5526674501605227,8.577159592001612,75.90352063273791,58,0.8,Low,Day,30,1,21.6,111,17922.0
1998,L99934,L,298.0,308.4,1393,44.7,45,0,0,0,0,0,0,10.399999999999975,2011.5,300.47,311.01,39.9,109.5,27.0,111.0,-2.1000000000000227,-0.6000000000000227,17.700000000000003,-66.0,2.0188280428668066,2.476309978800892,7.674633541739855,77.64198463317257,78,0.92,Medium,Day,68,2,41.124,90,24055.199999999997
